"('Xingwang Xiong', 2)"
"('Chuanxin Lan', 2)"
"('Chunjie Luo', 2)"
"('Hongxiao Li', 2)"
"('Jan S. Rellermeyer', 2)"
"('Conghao Zhou', 2)"
"('Mushu Li', 2)"
"('Weihua Zhuang', 2)"
"('Richard G. Freedman', 2)"
"('Ziv Epstein', 2)"
"('Matthew Groh', 2)"
"('Iyad Rahwan', 2)"
"('Jingren Zhou', 2)"
"('Lu Cheng', 2)"
"('Chakkrit Tantithamthavorn', 2)"
"('Dongsheng Li', 2)"
"('Jiayang Song', 2)"
"('Ruotong Wang', 2)"
"('Ruijia Cheng', 2)"
"('Denae Ford', 2)"
"('Thomas Zimmermann', 2)"
"('Jonas Tallberg', 2)"
"('Magnus Lundgren', 2)"
"('Johannes Geith', 2)"
"('Claudius Gros', 2)"
"('Ismail Ben Ayed', 2)"
"('Xia Chen', 2)"
"('Pan Hui', 2)"
"('Longhui Wei', 2)"
"('Lingxi Xie', 2)"
"('Qi Tian', 2)"
"('Thomas P Quinn', 2)"
"('Wei Hu', 2)"
"('Sven Koehler', 2)"
"('Sandy Engelhardt', 2)"
"('Francisco S. Melo', 2)"
"('Ji-Rong Wen', 2)"
"('Stephanie Houde', 2)"
"('John Richards', 2)"
"('Gabriel Lima', 2)"
"('Meeyoung Cha', 2)"
"('He Wen', 2)"
"('Angela Daly', 2)"
"('Monique Mann', 2)"
"('Marc Oriol', 2)"
"('Adam Trendowicz', 2)"
"('Owain Evans', 2)"
"('Yili Hong', 2)"
"('Jiayi Lian', 2)"
"('Xinwei Deng', 2)"
"('Muhammad Azeem Akbar', 2)"
"('Peng Liang', 2)"
"('Muhammad Waseem', 2)"
"('Mahmood Niazi', 2)"
"('Tim Johnson', 2)"
"('Thomas Woodside', 2)"
"('Richard Benjamins', 2)"
"('Michael Felderer', 2)"
"('Gerard Schouten', 2)"
"('Peter Cihon', 2)"
"('Charlotte Stix', 2)"
"('Arjun Subramonian', 2)"
"('Samir Passi', 2)"
"('Hariharan Subramonyam', 2)"
"('David James Woo', 2)"
"('Kai Guo', 2)"
"('Hengky Susanto', 2)"
"('Carol J. Smith', 2)"
"('Finale Doshi-Velez', 2)"
"('Mateus Monteiro', 2)"
"('Jiajia Guo', 2)"
"('Shi Jin', 2)"
"('Xiao Li', 2)"
"('Meredith Ringel Morris', 2)"
"('Rasha Alahmad', 2)"
"('Jessica Van Brummelen', 2)"
"('Phoebe Lin', 2)"
"('Vince I. Madai', 2)"
"('Elizabeth Anne Watkins', 2)"
"('Soheil Human', 2)"
"('Justin D. Weisz', 2)"
