Christian Curriden
Julia Brosch-Lenz
Fereshteh Yousefirizi
Katherine Zukotynski
Jean-Mathieu Beauregard
Vincent Gaudet
Babak Saboury
Arman Rahmim
Carlos Uribe
Séverin Lemaignan
Nigel Newbutt
Louis Rice
Joe Daly
Vicky Charisi
Francesco Sovrano
Fabio Vitali
Chiu-Chou Lin
Wei-Chen Chiu
I-Chen Wu
Andrea Bontempelli
Marcelo Rodas Britez
Xiaoyue Li
Haonan Zhao
Luca Erculiani
Stefano Teso
Andrea Passerini
Fausto Giunchiglia
Rohin Shah
Vikrant Varma
Ramana Kumar
Mary Phuong
Victoria Krakovna
Jonathan Uesato
Zac Kenton
Peter Barnett
Rachel Freedman
Justin Svegliato
Stuart Russell
Krishna Ronanki
Beatriz Cabrero-Daniel
Christian Berger
Xiang 'Anthony' Chen
Jeff Burke
Ruofei Du
Matthew K. Hong
Jennifer Jacobs
Philippe Laban
Dingzeyu Li
Nanyun Peng
Karl D. D. Willis
Chien-Sheng Wu
Bolei Zhou
Erika Halme
Mamia Agbese
Hanna-Kaisa Alanen
Jani Antikainen
Marianna Jantunen
Arif Ali Khan
Kai-Kristian Kemell
Ville Vakkuri
Pekka Abrahamsson
Kohitij Kar
Simon Kornblith
Evelina Fedorenko
Geoffrey Irving
Paul Christiano
Dario Amodei
Nythamar de Oliveira
Nicholas Kluge Corrêa
Abhishek Gupta
Camylle Lanteigne
Sara Kingsley
Jim Samuel
Rajiv Kashyap
Yana Samuel
Alexander Pelaez
Joseph Carlsmith
Mohammad Khalil
Erkan Er
Brian Thomas
Harley Thronson
Andrew Adrian
Alison Lowndes
James Mason
Nargess Memarsadeghi
Shahin Samadi
Giulio Varsi
Reid McIlroy-Young
Russell Wang
Siddhartha Sen
Jon Kleinberg
Ashton Anderson
Gabrielle Kaili-May Liu
Richard Dazeley
Peter Vamplew
Cameron Foale
Charlotte Young
Sunil Aryal
Francisco Cruz
Homanga Bharadhwaj
De-An Huang
Chaowei Xiao
Anima Anandkumar
Animesh Garg
Chunyi Li
Zicheng Zhang
Haoning Wu
Wei Sun
Xiongkuo Min
Xiaohong Liu
Guangtao Zhai
Weisi Lin
Yuyang Gao
Tong Sun
Liang Zhao
Sungsoo Hong
Hang Li
Wenbiao Ding
Zhongqin Wu
Zitao Liu
Rui Zhang
Bayu Distiawan Trisedy
Miao Li
Yong Jiang
Jianzhong Qi
Jonathan Stray
Ivan Vendrov
Jeremy Nixon
Steven Adler
Dylan Hadfield-Menell
Dmitry Kazhdan
Botty Dimanov
Lucie Charlotte Magister
Pietro Barbiero
Mateja Jamnik
Pietro Lio
Kang Chen
Xiangqian Wu
Jiani Huang
Ziyang Li
David Jacobs
Mayur Naik
Ser-Nam Lim
Luk Burchard
Max Xiaohang Zhao
Johannes Langguth
Aydın Buluç
Giulia Guidi
Sayan Deb Sarkar
Ondrej Miksik
Marc Pollefeys
Daniel Barath
Iro Armeni
Zhengxuan Wu
Atticus Geiger
Christopher Potts
Noah D. Goodman
Zineng Tang
Ziyi Yang
Chenguang Zhu
Michael Zeng
Mohit Bansal
Chao Zhang
Shiwei Wu
Sirui Zhao
Tong Xu
Enhong Chen
Allan Dafoe
Edward Hughes
Yoram Bachrach
Tantum Collins
Kevin R. McKee
Joel Z. Leibo
Kate Larson
Thore Graepel
J Gerard Wolff
Matthew L. Weiss
Joseph McDonald
David Bestor
Charles Yee
Daniel Edelman
Michael Jones
Andrew Prout
Andrew Bowne
Lindsey McEvoy
Vijay Gadepally
Siddharth Samsi
Nina L. Corvelo Benz
Manuel Gomez Rodriguez
J. Gerard Wolff
Tao Li
Jay Roberts
Theodoros Tsiligkaridis
Daniel Szelogowski
William Paul
Philippe Burlina
Sil Hamilton
Yang Yuan
P. Sybilski
R. K. Pawłaszek
A. Sybilska
M. Konacki
K. G. Hełminiak
S. K. Kozłowski
M. Ratajczak
Ville Vakkuri
Kai-Kristian Kemell
Pekka Abrahamsson
Garrick Cabour
Andrés Morales
Élise Ledoux
Samuel Bassetto
Dong Won Lee
Chaitanya Ahuja
Paul Pu Liang
Sanika Natu
Louis-Philippe Morency
I. Elizabeth Kumar
Keegan E. Hines
John P. Dickerson
Lifeng Han
Gleb Erofeev
Irina Sorokina
Serge Gladkoff
Goran Nenadic
Zhiwei He
Xing Wang
Zhaopeng Tu
Shuming Shi
Rui Wang
Jiaming Ji
Jiayi Zhou
Borong Zhang
Juntao Dai
Xuehai Pan
Ruiyang Sun
Weidong Huang
Yiran Geng
Mickel Liu
Yaodong Yang
Sandra Wachter
Brent Mittelstadt
Chris Russell
Yang Yu
Rongrong Ni
Yao Zhao
Duncan C McElfresh
Lok Chan
Kenzie Doyle
Walter Sinnott-Armstrong
Vincent Conitzer
Jana Schaich Borg
John P Dickerson
Nima Shahbazi
Abolfazl Asudeh
Tim Miller
Harsh Agrawal
Arjun Chandrasekaran
Dhruv Batra
Devi Parikh
Mohit Bansal
Joseph Bullock
Miguel Luengo-Oroz
Michael Cerny Green
Ahmed Khalifa
Gabriella A. B. Barros
Tiago Machado
Julian Togelius
Nicholas Schmidt
Bryce Stephens
Lashon B. Booker
Scott A. Musman
Xiaocong Ai
Robert R. Hoffman
William J. Clancey
Shane T. Mueller
Cheol-Hyun Cho
Dongwook Choa
Wonbo Jeong
Emanuele Albini
Piyawat Lertvittayakumjorn
Antonio Rago
Francesca Toni
Priyanka Nanayakkara
Jessica Hullman
Nicholas Diakopoulos
Christoph Anderson
Judith Simone Heinisch
Shohreh Deldari
Flora D. Salim
Sandra Ohly
Klaus David
Veljko Pejovic
Namrata Mukhija
Monojit Choudhury
Kalika Bali
Tara Roberson
Stephen Bornstein
Rain Liivoja
Simon Ng
Jason Scholz
S. Kate Devitt
Shao Zhang
Yuting Jia
Hui Xu
Dakuo Wang
Toby Jia-jun Li
Ying Wen
Xinbing Wang
Chenghu Zhou
Evan Hubinger
Adam Jermyn
Johannes Treutlein
Rubi Hudson
Kate Woolverton
Junyu Chen
Jie An
Hanjia Lyu
Jiebo Luo
David Herron
Ernesto Jiménez-Ruiz
Giacomo Tarroni
Tillman Weyde
Toby Shevlane
Sebastian Farquhar
Ben Garfinkel
Mary Phuong
Jess Whittlestone
Jade Leung
Daniel Kokotajlo
Nahema Marchal
Markus Anderljung
Noam Kolt
Lewis Ho
Divya Siddarth
Shahar Avin
Will Hawkins
Been Kim
Iason Gabriel
Vijay Bolina
Jack Clark
Yoshua Bengio
Paul Christiano
Allan Dafoe
Jose Berengueres
Marybeth Sandell
Catherine Ordun
Edward Raff
Sanjay Purushotham
Mohamad Fazelnia
